a , 8234
aaron , 319
about , 640
according , 797
after , 1179
again , 672
against , 1668
all , 5638
also , 1771
altar , 378
am , 874
among , 916
an , 1703
and , 51764
another , 448
answered , 492
any , 949
are , 2970
art , 494
as , 3530
at , 1585
away , 917
be , 7032
because , 1210
been , 331
before , 1798
behold , 1326
blessed , 302
blood , 447
both , 363
bread , 361
brethren , 563
bring , 725
brother , 367
brought , 863
burnt , 366
but , 3997
by , 2644
called , 634
came , 2093
cast , 501
cause , 330
children , 1802
christ , 555
cities , 448
city , 869
come , 1972
commanded , 443
congregation , 364
cut , 320
daughter , 324
david , 1011
day , 1734
days , 881
dead , 364
death , 372
did , 1006
die , 321
do , 1385
done , 565
down , 1125
drink , 369
dwell , 338
earth , 987
eat , 655
egypt , 611
end , 309
even , 1395
ever , 476
every , 1236
evil , 613
eyes , 503
face , 416
father , 979
fathers , 696
fear , 400
fire , 549
first , 444
five , 345
flesh , 420
for , 8996
forth , 896
found , 405
four , 328
from , 3657
gave , 465
give , 884
given , 499
glory , 402
go , 1492
god , 4442
gold , 417
good , 720
great , 962
had , 2026
hand , 1466
hands , 462
hast , 1070
hath , 2264
have , 3909
he , 10421
head , 364
hear , 551
heard , 641
heart , 830
heaven , 582
her , 1994
high , 416
him , 6659
himself , 527
his , 8473
holy , 611
house , 2024
how , 547
hundred , 590
i , 8854
if , 1615
in , 12725
into , 2015
is , 7014
israel , 2565
it , 6144
jacob , 358
jerusalem , 811
jesus , 983
judah , 812
keep , 364
king , 2264
kingdom , 342
kings , 624
know , 764
land , 1718
law , 525
left , 348
let , 1511
life , 451
like , 669
lord , 7830
love , 310
made , 1405
make , 1059
man , 2613
many , 558
may , 1042
me , 4096
men , 1653
midst , 364
might , 475
mine , 649
more , 687
moses , 852
mouth , 423
my , 4368
name , 929
nations , 336
neither , 879
night , 307
no , 1404
none , 358
nor , 755
not , 6617
now , 1356
o , 1065
of , 34789
off , 507
offering , 724
old , 383
on , 2022
one , 1968
or , 1200
other , 478
our , 1169
out , 2776
over , 1008
own , 596
pass , 830
peace , 429
people , 2142
place , 717
pray , 313
priest , 497
priests , 447
put , 911
right , 363
righteousness , 306
round , 320
said , 3999
saith , 1262
same , 333
saul , 389
saw , 548
say , 1056
saying , 1445
sea , 400
see , 600
sent , 686
servant , 489
servants , 489
set , 703
seven , 463
shall , 9840
shalt , 1616
she , 983
should , 785
side , 442
sight , 333
silver , 320
sin , 447
so , 1690
son , 2370
sons , 1116
soul , 458
spake , 587
speak , 513
spirit , 505
stood , 339
sword , 424
tabernacle , 328
take , 874
taken , 338
than , 484
that , 12927
the , 64202
thee , 3826
their , 3932
them , 6430
themselves , 409
then , 2169
there , 2301
therefore , 1237
thereof , 906
these , 1228
they , 7379
thine , 938
thing , 542
things , 1164
this , 2833
those , 466
thou , 5474
thousand , 520
three , 485
through , 465
thus , 738
thy , 4600
time , 623
to , 13660
together , 484
took , 750
toward , 346
two , 835
under , 398
until , 366
unto , 8997
up , 2383
upon , 2750
us , 1452
voice , 505
was , 4524
water , 396
way , 666
we , 1853
went , 1400
were , 2772
what , 986
when , 2835
where , 404
wherefore , 348
which , 4420
who , 971
whom , 764
whose , 314
wicked , 344
wife , 396
wilderness , 304
will , 3843
with , 6059
without , 434
woman , 357
word , 698
words , 548
work , 464
would , 451
ye , 3983
yea , 340
year , 367
years , 542
yet , 683
you , 2683
your , 1787
